county,sub_county,Disease/ Condition,total
Siaya,Alego Usonga,Vibriosis,3
Samburu,Samburu West,Ophthalmitis,57
Wajir,Wajir East,Animal bites,150
Bungoma,Kanduyi,Black Quarter,11
Busia,Samia,Pneumonia,4
Busia,Nambale,Atrophic rhinitis,0
Marsabit,Moyale,Dytocia,32
Taita Taveta,Mwatate,Fungal Infection,3
Samburu,Samburu North,Heart Water,13
Kajiado,Kajiado East,Anthrax,157
Baringo,Baringo Central,Pneumonia,8
Kajiado,Kajiado Central,Heart Water,30
Kilifi,Ganze,Lumpy Skin Disease (LSD),20
Lamu,Lamu West,Trypanosomiasis,1
Wajir,Wajir East,Rabies,415
Kakamega,Butere,Pink Eye,6
Makueni,Kaiti,Heart Water,0
Kwale,Msambweni,Rabies,1
Tana River,Garsen,Animal bites,3
Bomet,Bomet Central,Animal bites,3
Uasin Gishu,Turbo,Enterotoxaemia,5
Uasin Gishu,Turbo,Anaplasmosis,4
