county,sub_county,Disease/ Condition,total
Tana River,Bura,Helminthiasis,909
Tana River,Bura,Pneumonia,8801
Siaya,Gem,Helminthiasis,27
Siaya,Alego Usonga,Contagious Caprine Pleuropneumonia (CCPP),0
Tana River,Bura,Foot Rot,225
Siaya,Gem,Pneumonia,0
Siaya,Rarieda,Contagious Caprine Pleuropneumonia (CCPP),0
Siaya,Ugenya,Helminthiasis,0
Taita Taveta,Voi,Wound,7
Taita Taveta,Voi,East Coast Fever(ECF),155
Taita Taveta,Voi,Helminthiasis,208
Taita Taveta,Wundanyi,Contagious Caprine Pleuropneumonia (CCPP),156
Taita Taveta,Voi,Brucellosis,103
Taita Taveta,Voi,Helmethiasis,0
Samburu,Samburu East,Diarrhea,280
Elgeyo/Marakwet,Marakwet West,Bloat,5
Taita Taveta,Voi,Hemorrhagic Septicemia,4
Taita Taveta,Voi,Ephemeral Fever,231
Taita Taveta,Voi,Haemorrhagic septicemia,32
Kakamega,Malava,Ringworms,4
Marsabit,Moyale,Diahorrea,34
Samburu,Samburu West,Johnes Disease,33
Busia,Butula,East Coast Fever(ECF),31
Taita Taveta,Wundanyi,Pneumonia,10
Taita Taveta,Wundanyi,Helminthiasis,8
Tana River,Garsen,Trypanosomiasis,2202
Samburu,Samburu East,Orf,87
Taita Taveta,Wundanyi,Contagious Ecthyma,6
Taita Taveta,Wundanyi,East Coast Fever(ECF),92
Taita Taveta,Mwatate,Helminthiasis,681
Taita Taveta,Wundanyi,Anaplasmosis,29
Taita Taveta,Wundanyi,Miscarriage,3
Taita Taveta,Wundanyi,Hapatitis,0
Taita Taveta,Taveta,East Coast Fever(ECF),43
Taita Taveta,Taveta,Pregnancy Test,0
Kisumu,Seme,Septic Wound,0
Samburu,Samburu West,0,64
